account_no,bank_name,account_type,name,balance,created_at,user_id
719-157367-29994,하나은행,DB,하나 DB 통장,436,2015-01-02,56
375-705231-93589,하나은행,DB,하나 DB 통장,810,2010-02-28,46
591-6047-9298-45,NH농협은행,입출금,NH주거래우대통장,331,2012-08-01,222
873-61-996452-3,DGB대구은행,IRP,DGB IRP 통장,9660871,2020-02-04,39
3047-296-064423,우리은행,DC,우리 DC 통장,68925,2013-09-17,63
3208-60-1945900,카카오뱅크,DB,카카오 DB 통장,2091,2018-07-07,178
060296-48-141518,KB국민은행,적금,KB내맘대로적금,783756,2022-12-18,142
158-067-335837,신한은행,적금,"신한 안녕, 반가워 적금",5381,2010-06-26,53
273-679295-58-467,IBK기업은행,입출금,IBK평생주거래기업통장,12762,2012-01-30,174
076-861778-76-295,IBK기업은행,IRP,IBK IRP 통장,1413745,2012-11-05,189
340-80-407697-3,DGB대구은행,DC,DGB DC 통장,70372090,2010-10-08,173
8933-763-620440,우리은행,예금,우리 첫거래우대 정기예금,8511956,2014-01-19,24
326423-15-405275,KB국민은행,적금,KB내맘대로적금,490,2022-03-30,21
526-457451-79876,하나은행,DB,하나 DB 통장,77982299,2019-09-29,70
580-99-297364-1,DGB대구은행,적금,고객에게 진심이지 적금,88495331,2013-07-06,236
817-87-047239-1,DGB대구은행,입출금,iM스마트통장,75547502,2024-04-18,137
871-292993-76-888,IBK기업은행,예금,1석7조통장,973,2014-03-16,281
9178-079-493019,우리은행,적금,WON 적금,481059,2017-09-29,294
555-736251-53-723,IBK기업은행,IRP,IBK IRP 통장,67646438,2019-02-06,274
957-565803-35492,하나은행,입출금,주거래하나 통장,15644,2020-07-14,134
160-7201-9572-51,NH농협은행,IRP,NH IRP 통장,87944,2016-05-22,186
399-62-444680-1,DGB대구은행,IRP,DGB IRP 통장,206,2019-01-30,125
641-68-267051-2,DGB대구은행,입출금,iM스마트통장,5743965,2022-06-24,164
857-293-568997,신한은행,예금,쏠편한 정기예금,7999428,2024-03-10,281
695617-13-344976,KB국민은행,적금,KB내맘대로적금,41539060,2022-02-13,7
869-705678-79263,하나은행,입출금,주거래하나 통장,441,2011-02-05,161
153-343-187392,신한은행,IRP,신한 IRP 통장,915142,2017-07-02,252
820-832-491517,신한은행,DC,신한 DC 통장,2767,2017-08-14,196
462354-06-873826,KB국민은행,IRP,KB IRP 통장,1182,2012-03-16,260
346-407643-62-671,IBK기업은행,DC,IBK DC 통장,48976,2012-08-21,114
449-85-028326-0,DGB대구은행,IRP,DGB IRP 통장,8281,2011-12-22,64
5080-80-0211555,카카오뱅크,DC,카카오 DC 통장,157,2022-12-15,53
010-7257-5518-37,NH농협은행,입출금,NH주거래우대통장,64345201,2012-08-17,48
2506-47-9222588,카카오뱅크,DB,카카오 DB 통장,8153,2011-08-15,243
908-576427-06810,하나은행,예금,3*6*9 정기예금,1824463,2019-02-05,8
415140-29-042561,KB국민은행,DC,KB DC 통장,493807,2013-01-29,29
434-2251-4781-27,NH농협은행,예금,NH올원e예금,59012,2020-09-03,118
9424-220-098598,우리은행,입출금,우리 SUPER주거래 통장,681498,2010-12-15,182
1999-14-4714366,카카오뱅크,DC,카카오 DC 통장,62719259,2013-08-07,185
807-9320-0072-71,NH농협은행,IRP,NH IRP 통장,500,2011-12-11,74
368-8766-3676-18,NH농협은행,IRP,NH IRP 통장,514177,2016-04-21,81
235-90-964001-0,DGB대구은행,적금,고객에게 진심이지 적금,40598,2022-11-13,12
197-2585-3892-82,NH농협은행,적금,NH주거래우대적금,9021257,2019-12-08,118
222-333577-31407,하나은행,예금,3*6*9 정기예금,774210,2018-11-08,143
518-290610-51-832,IBK기업은행,DB,IBK DB 통장,646625,2016-09-09,19
310-27-495004-9,DGB대구은행,적금,고객에게 진심이지 적금,5669848,2018-09-17,215
8862-85-8799882,카카오뱅크,IRP,카카오 IRP 통장,61980,2018-01-02,196
7602-67-0055192,카카오뱅크,예금,카카오뱅크 정기예금,5740944,2019-02-22,248
853-490278-87-745,IBK기업은행,예금,1석7조통장,79923,2016-11-24,106
7241-39-3600179,카카오뱅크,DC,카카오 DC 통장,15618,2017-02-17,208
919-04-584622-5,DGB대구은행,DB,DGB DB 통장,87487,2019-10-11,66
8995-78-2818107,카카오뱅크,입출금,카카오뱅크 입출금통장,91340,2021-07-02,292
1840-139-457769,우리은행,IRP,우리 IRP 통장,23894,2022-08-04,181
999-359-555715,신한은행,입출금,신한 슈퍼SOL 통장,17369748,2019-09-15,230
077853-29-285250,KB국민은행,DC,KB DC 통장,327076,2011-03-17,140
803-710691-09-388,IBK기업은행,DB,IBK DB 통장,575841,2023-09-08,143
840-341511-61278,하나은행,IRP,하나 IRP 통장,4162267,2023-03-09,55
859-693-133593,신한은행,DC,신한 DC 통장,612,2012-07-17,198
111-251026-54-244,IBK기업은행,IRP,IBK IRP 통장,437,2021-08-05,200
9705-16-4355708,카카오뱅크,적금,카카오뱅크 자유적금,9722,2018-10-05,98
004-800-064825,신한은행,입출금,신한 슈퍼SOL 통장,6568589,2024-01-09,26
592-9988-9170-05,NH농협은행,적금,NH주거래우대적금,83800,2013-10-03,221
093-258-883413,신한은행,DB,신한 DB 통장,70826436,2012-01-19,48
229-640079-17-494,IBK기업은행,예금,1석7조통장,16729,2019-06-04,44
045118-40-961322,KB국민은행,DC,KB DC 통장,99852,2023-08-04,250
012972-41-536271,KB국민은행,DB,KB DB 통장,7923948,2012-09-10,64
870-225-173654,신한은행,예금,쏠편한 정기예금,4671,2012-11-09,121
7364-715-792613,우리은행,입출금,우리 SUPER주거래 통장,196164,2013-07-06,162
196-070-618020,신한은행,예금,쏠편한 정기예금,18759458,2014-12-11,257
357-834754-81957,하나은행,예금,3*6*9 정기예금,5644420,2022-01-22,129
970-862437-13196,하나은행,DC,하나 DC 통장,45849031,2021-01-29,142
9428-663-238531,우리은행,DB,우리 DB 통장,59,2018-10-06,192
222-83-605148-6,DGB대구은행,IRP,DGB IRP 통장,57489,2015-01-03,249
695-387791-29-409,IBK기업은행,입출금,IBK평생주거래기업통장,6723929,2022-08-27,158
