card_no,company_name,card_name,card_type,created_at,expired_at,user_id,account_no
0448093898823943,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2015-12-04,2020-12-02,222,591-6047-9298-45
3662833917639453,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2014-09-10,2019-09-09,222,591-6047-9298-45
3619699088747544,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2023-10-01,2028-09-29,222,591-6047-9298-45
0441665064954155,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2020-05-20,2025-05-19,134,957-565803-35492
3612224007630040,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2019-06-25,2024-06-23,134,957-565803-35492
3812935613269957,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2015-05-11,2020-05-09,134,957-565803-35492
3683274694610848,롯데카드,롯데마트&MAXX 카드,신용카드,2023-02-18,2028-02-17,164,641-68-267051-2
3669337532872009,신한카드,신한카드 Point Plan,신용카드,2014-04-22,2019-04-21,161,869-705678-79263
0449732791057467,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2012-10-19,2017-10-18,161,869-705678-79263
3682991944279177,롯데카드,롯데포인트 플러스 체크카드,체크카드,2016-05-20,2021-05-19,161,869-705678-79263
3818424485425672,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2013-01-27,2018-01-26,161,869-705678-79263
3819992735871813,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2013-09-13,2018-09-12,48,010-7257-5518-37
3818937983471721,KB국민카드,삼성페이 KB국민카드,신용카드,2010-09-20,2015-09-19,48,010-7257-5518-37
3665943144944651,신한카드,신한카드 Point Plan,신용카드,2023-04-06,2028-04-04,48,010-7257-5518-37
0446748268319681,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2015-11-01,2020-10-30,182,9424-220-098598
3689413272164158,롯데카드,롯데마트&MAXX 카드,신용카드,2019-02-02,2024-02-01,182,9424-220-098598
3618007163725833,BC카드,[BC바로] GOAT BC바로카드,신용카드,2012-08-12,2017-08-11,182,9424-220-098598
0448931170868345,하나카드,Young Hana+ 체크카드,체크카드,2023-04-09,2028-04-07,182,9424-220-098598
3666087900581752,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2023-06-07,2028-06-05,182,9424-220-098598
0443809505454377,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2010-03-16,2015-03-15,230,999-359-555715
3613835038002437,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2014-12-24,2019-12-23,162,7364-715-792613
3612138561694201,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2023-05-10,2028-05-08,158,695-387791-29-409
3660532968676159,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2013-04-12,2018-04-11,158,695-387791-29-409
3815459084943950,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2018-01-01,2022-12-31,158,695-387791-29-409
3613204922547676,BC카드,[BC바로] GOAT BC바로카드,신용카드,2017-05-20,2022-05-19,158,695-387791-29-409
3661963539019109,신한카드,신한카드 Point Plan,신용카드,2012-01-24,2017-01-22,158,695-387791-29-409
0449795430838758,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2023-09-18,2028-09-16,227,467-04-977286-6
0440121577635288,하나카드,Young Hana+ 체크카드,체크카드,2018-04-20,2023-04-19,227,467-04-977286-6
3662055160334079,신한카드,신한카드 Point Plan,신용카드,2010-10-21,2015-10-20,221,462-974204-84801
3681626169285572,롯데카드,롯데마트&MAXX 카드,신용카드,2016-09-16,2021-09-15,192,7468-46-2193487
3685363023900200,롯데카드,롯데포인트 플러스 체크카드,체크카드,2014-04-08,2019-04-07,192,7468-46-2193487
0449243281672607,하나카드,Young Hana+ 체크카드,체크카드,2014-08-02,2019-08-01,192,7468-46-2193487
3662856609722561,신한카드,신한카드 Point Plan,신용카드,2012-05-29,2017-05-28,192,7468-46-2193487
3611607006660342,BC카드,[BC바로] GOAT BC바로카드,신용카드,2015-05-26,2020-05-24,192,7468-46-2193487
3619123357058160,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2010-02-20,2015-02-19,124,131-018494-46-949
3816835943125474,KB국민카드,삼성페이 KB국민카드,신용카드,2013-08-15,2018-08-14,124,131-018494-46-949
0441564536920473,하나카드,Young Hana+ 체크카드,체크카드,2016-03-24,2021-03-23,124,131-018494-46-949
3612759698771610,BC카드,[BC바로] GOAT BC바로카드,신용카드,2019-09-14,2024-09-12,124,131-018494-46-949
0440271500712077,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2010-08-19,2015-08-18,124,131-018494-46-949
3663742072100725,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2014-05-01,2019-04-30,95,463069-54-441987
3666993731559292,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2019-04-15,2024-04-13,233,021-984-163379
3813792874891374,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2015-06-25,2020-06-23,233,021-984-163379
3617440520386582,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2018-02-07,2023-02-06,233,021-984-163379
3684921131779996,롯데카드,롯데포인트 플러스 체크카드,체크카드,2020-12-10,2025-12-09,233,021-984-163379
3610331588535318,BC카드,[BC바로] GOAT BC바로카드,신용카드,2016-02-08,2021-02-06,233,021-984-163379
3665121602213231,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2023-04-22,2028-04-20,132,027-3619-2606-28
0448666712908003,하나카드,Young Hana+ 체크카드,체크카드,2022-01-28,2027-01-27,132,027-3619-2606-28
3612433634116320,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2014-06-20,2019-06-19,296,341-9733-5005-82
0442350456816825,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2021-12-10,2026-12-09,1,636-589961-01323
3668962270740411,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2018-09-02,2023-09-01,1,636-589961-01323
3617902049603086,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2011-05-29,2016-05-27,1,636-589961-01323
3618239229538593,BC카드,[BC바로] GOAT BC바로카드,신용카드,2020-07-05,2025-07-04,1,636-589961-01323
3667015655652984,신한카드,신한카드 Point Plan,신용카드,2018-08-30,2023-08-29,1,636-589961-01323
3615953313755617,BC카드,[BC바로] GOAT BC바로카드,신용카드,2022-02-06,2027-02-05,81,967-707-884711
0445955053872419,하나카드,Young Hana+ 체크카드,체크카드,2019-12-18,2024-12-16,81,967-707-884711
3611467195242989,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2018-03-14,2023-03-13,81,967-707-884711
3816833067993665,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2018-04-02,2023-04-01,81,967-707-884711
0449981053843897,하나카드,Young Hana+ 체크카드,체크카드,2013-04-24,2018-04-23,185,526-6609-7910-23
3816411726215938,KB국민카드,삼성페이 KB국민카드,신용카드,2020-03-12,2025-03-11,185,526-6609-7910-23
