user_id,account_no,company_name,loan_type,interest_rate,loan_amount,total_payments
222,591-6047-9298-45,하나은행,주택담보대출,5.02,1000000000,7
174,273-679295-58-467,우리은행,주택담보대출,5.36,100000000,7
137,817-87-047239-1,KB국민은행,신용한도대출,7.04,10000000,1
134,957-565803-35492,우리은행,신용한도대출,6.65,1000000000,2
164,641-68-267051-2,NH농협은행,주택담보대출,5.09,100000000,3
161,869-705678-79263,신한은행,신용한도대출,6.84,100000000,2
48,010-7257-5518-37,NH농협은행,주택담보대출,5.09,100000000,3
182,9424-220-098598,NH농협은행,주택담보대출,5.09,1000000000,9
292,8995-78-2818107,신한은행,신용한도대출,6.84,1000000000,4
230,999-359-555715,하나은행,주택담보대출,5.02,10000000,4
26,004-800-064825,KB국민은행,신용한도대출,7.04,1000000000,8
162,7364-715-792613,우리은행,주택담보대출,5.36,10000000,3
158,695-387791-29-409,KB국민은행,주택담보대출,5.36,10000000,5
227,467-04-977286-6,KB국민은행,신용한도대출,7.04,1000000000,8
221,462-974204-84801,우리은행,신용한도대출,6.65,10000000,3
192,7468-46-2193487,KB국민은행,주택담보대출,5.36,100000000,6
124,131-018494-46-949,하나은행,신용한도대출,6.82,100000000,1
95,463069-54-441987,신한은행,신용한도대출,6.84,100000000,2
233,021-984-163379,NH농협은행,신용한도대출,6.82,100000000,8
238,054-021337-57095,NH농협은행,주택담보대출,5.09,10000000,6
65,9054-029-753173,KB국민은행,주택담보대출,5.36,100000000,6
132,027-3619-2606-28,신한은행,신용한도대출,6.84,100000000,7
296,341-9733-5005-82,KB국민은행,신용한도대출,7.04,1000000000,8
1,636-589961-01323,우리은행,주택담보대출,5.36,10000000,0
81,967-707-884711,우리은행,주택담보대출,5.36,10000000,3
185,526-6609-7910-23,우리은행,신용한도대출,6.65,1000000000,8
25,897-8054-6817-76,우리은행,신용한도대출,6.65,1000000000,7
46,549-62-649368-7,NH농협은행,신용한도대출,6.82,10000000,7
226,8374-176-041478,신한은행,주택담보대출,5.61,10000000,2
206,848-359922-07-940,NH농협은행,주택담보대출,5.09,1000000000,0
84,204-7632-7803-41,KB국민은행,주택담보대출,5.36,100000000,7
154,7932-002-260156,NH농협은행,주택담보대출,5.09,10000000,3
52,522-064798-88-297,NH농협은행,주택담보대출,5.09,1000000000,4
237,934-162310-72-866,KB국민은행,신용한도대출,7.04,10000000,5
169,692024-89-884911,신한은행,신용한도대출,6.84,100000000,8
50,586-90-684623-0,우리은행,주택담보대출,5.36,1000000000,10
109,403-457419-37-947,신한은행,신용한도대출,6.84,10000000,7
129,173-333-587371,우리은행,주택담보대출,5.36,100000000,7
290,366-807-446426,우리은행,신용한도대출,6.65,1000000000,0
186,475-2705-4136-77,우리은행,주택담보대출,5.36,100000000,5
75,749-58-459637-4,NH농협은행,신용한도대출,6.82,10000000,9
300,643-2748-5659-55,신한은행,주택담보대출,5.61,100000000,3
122,7749-78-3083453,KB국민은행,신용한도대출,7.04,100000000,0
119,741997-08-848821,신한은행,신용한도대출,6.84,10000000,7
276,9001-24-4537048,NH농협은행,신용한도대출,6.82,100000000,1
115,831-859569-92348,하나은행,신용한도대출,6.82,1000000000,0
23,529-33-857940-8,KB국민은행,신용한도대출,7.04,100000000,3
190,618-121238-13-644,NH농협은행,신용한도대출,6.82,10000000,10
266,020-327736-84753,우리은행,신용한도대출,6.65,100000000,9
