account_no,user_id,company_name,pension_name,pension_type,interest_rate,evaluation_amount,expiration_date
719-157367-29994,56,NH농협은행,농협은행 퇴직연금 정기예금,DB,3.39,988097,2025-01-24
719-157367-29994,56,신한은행,신한은행 퇴직연금 정기예금,DB,3.39,945,2024-12-07
719-157367-29994,56,하나은행,하나은행 퇴직연금 정기예금,DB,3.45,386947,2024-12-26
719-157367-29994,56,KB국민은행,국민은행 퇴직연금 정기예금,DB,3.39,2328369,2024-12-15
375-705231-93589,46,NH농협은행,농협은행 퇴직연금 정기예금,DB,3.39,4976914,2025-04-23
375-705231-93589,46,신한은행,신한은행 퇴직연금 정기예금,DB,3.39,732833,2024-12-01
375-705231-93589,46,하나은행,하나은행 퇴직연금 정기예금,DB,3.45,3128835,2024-12-19
375-705231-93589,46,KB국민은행,국민은행 퇴직연금 정기예금,DB,3.39,829014,2025-05-31
873-61-996452-3,39,NH농협은행,농협은행 퇴직연금 정기예금,IRP,3.29,19190557,2024-07-30
873-61-996452-3,39,신한은행,신한은행 퇴직연금 정기예금,IRP,3.29,132781,2024-10-07
873-61-996452-3,39,우리은행,우리은행 퇴직연금 정기예금,IRP,3.4,3604120,2024-06-20
873-61-996452-3,39,하나은행,하나은행 퇴직연금 정기예금,IRP,3.35,23221079,2025-03-19
873-61-996452-3,39,KB국민은행,국민은행 퇴직연금 정기예금,IRP,3.29,320760,2025-05-21
3047-296-064423,63,NH농협은행,농협은행 퇴직연금 정기예금,DC,3.29,95172395,2025-04-23
3047-296-064423,63,신한은행,신한은행 퇴직연금 정기예금,DC,3.29,280,2025-01-20
3047-296-064423,63,우리은행,우리은행 퇴직연금 정기예금,DC,3.4,7017,2024-07-11
3047-296-064423,63,하나은행,하나은행 퇴직연금 정기예금,DC,3.35,393858,2024-07-26
3047-296-064423,63,KB국민은행,국민은행 퇴직연금 정기예금,DC,3.29,2004738,2025-03-02
3208-60-1945900,178,NH농협은행,농협은행 퇴직연금 정기예금,DB,3.39,635021,2024-10-11
3208-60-1945900,178,신한은행,신한은행 퇴직연금 정기예금,DB,3.39,352,2025-01-15
3208-60-1945900,178,하나은행,하나은행 퇴직연금 정기예금,DB,3.45,7576763,2025-03-06
3208-60-1945900,178,KB국민은행,국민은행 퇴직연금 정기예금,DB,3.39,126481,2025-02-26
076-861778-76-295,189,NH농협은행,농협은행 퇴직연금 정기예금,IRP,3.29,23824197,2025-03-03
076-861778-76-295,189,신한은행,신한은행 퇴직연금 정기예금,IRP,3.29,11384,2024-09-03
076-861778-76-295,189,우리은행,우리은행 퇴직연금 정기예금,IRP,3.4,257785,2025-04-09
076-861778-76-295,189,하나은행,하나은행 퇴직연금 정기예금,IRP,3.35,156,2024-10-13
076-861778-76-295,189,KB국민은행,국민은행 퇴직연금 정기예금,IRP,3.29,14170,2024-07-16
340-80-407697-3,173,NH농협은행,농협은행 퇴직연금 정기예금,DC,3.29,46003420,2024-08-01
340-80-407697-3,173,신한은행,신한은행 퇴직연금 정기예금,DC,3.29,3583,2024-12-04
340-80-407697-3,173,우리은행,우리은행 퇴직연금 정기예금,DC,3.4,349358,2024-11-13
