account_no,security_name,account_type,balance,created_at,user_id
25129677-595,하나증권,IRP,7267,2014-03-13,2
235720-830758,KB증권,IRP,54,2011-03-27,2
4008-2360,키움증권,IRP,7981,2010-06-25,2
230-71-279292,신한투자증권,IRP,972,2015-06-24,2
49316297-836,하나증권,종합,86665,2020-12-20,2
5354-7736,키움증권,종합,8242122,2013-12-02,3
69879837-63,한국투자증권,IRP,47676448,2021-01-06,5
02373826-37,한국투자증권,DC,736,2018-07-30,5
863-96-651283,신한투자증권,종합,84436506,2010-08-25,6
699–4097–2968-5,미래에셋대우,DC,55,2016-08-29,6
93232136-295,하나증권,DB,7770,2014-05-18,6
231993-867199,KB증권,종합,25881272,2012-11-14,7
01167029-137,하나증권,종합,71252,2014-02-02,7
55176786-814,하나증권,종합,4591,2018-11-27,7
9931-8374,키움증권,종합,89611,2011-02-10,7
91182812-209,하나증권,IRP,432,2016-03-24,7
352-63-044077,신한투자증권,종합,3091,2011-05-28,8
125-20-018452,신한투자증권,IRP,22430008,2013-03-13,8
9667-9971,키움증권,종합,689,2015-09-17,8
562–8321–0989-3,미래에셋대우,종합,4365,2023-01-27,8
184-36-446637,신한투자증권,종합,7005918,2023-09-19,8
350–8719–3147-6,미래에셋대우,종합,140,2014-09-01,9
1153-4298,키움증권,DC,5597,2012-10-25,9
47646559-174,하나증권,종합,91537,2019-11-17,9
06275886-03,한국투자증권,종합,191,2022-10-14,9
719385-894569,KB증권,IRP,7557,2020-04-13,10
21233074-982,하나증권,종합,71154099,2022-09-13,10
60035526-57,한국투자증권,IRP,7724361,2017-11-12,10
9300-2542,키움증권,IRP,80545,2022-06-05,11
015-87-741911,신한투자증권,DB,9973,2010-02-06,11
0343-4625,키움증권,DB,834,2014-12-24,11
969963-624062,KB증권,종합,236171,2023-02-13,11
4546-5316,키움증권,종합,370801,2013-01-06,11
78445365-349,하나증권,IRP,12007723,2013-10-01,13
29739358-897,하나증권,종합,89301,2010-09-24,13
355587-824737,KB증권,DB,69453,2018-02-23,13
27177661-14,한국투자증권,DB,9122,2021-08-08,13
457–1494–0267-6,미래에셋대우,DB,5213952,2019-12-23,15
906840-364420,KB증권,DB,307,2015-09-15,15
287–6687–6121-4,미래에셋대우,DB,1483064,2016-03-14,17
752–1267–4281-1,미래에셋대우,종합,2668,2023-09-20,17
110-23-630835,신한투자증권,DB,5862395,2011-08-21,17
3595-1573,키움증권,종합,90282,2010-07-02,17
79825161-85,한국투자증권,DB,66347535,2021-07-09,18
176–2732–9331-1,미래에셋대우,IRP,237,2021-04-20,18
96447423-08,한국투자증권,IRP,176905,2010-09-15,19
44447146-187,하나증권,DC,8834,2011-03-29,21
901–1073–0397-9,미래에셋대우,종합,492,2014-12-25,21
375–0690–9868-9,미래에셋대우,DC,12357,2011-08-15,21
5086-8132,키움증권,DB,613,2024-01-09,21
7223-8822,키움증권,DB,2647,2017-08-09,22
86532979-13,한국투자증권,DC,981871,2011-09-28,22
956-65-465028,신한투자증권,DC,7809383,2012-02-12,22
505–9870–6272-5,미래에셋대우,IRP,7601,2012-05-24,22
147-46-926332,신한투자증권,IRP,15233422,2023-06-05,23
535175-006138,KB증권,IRP,72982584,2015-08-10,24
70325339-638,하나증권,DC,7041,2013-02-11,24
248–8062–6494-2,미래에셋대우,IRP,4313589,2010-02-13,24
8116-5787,키움증권,DC,3847,2015-07-19,24
898-11-715439,신한투자증권,DB,39645,2016-06-04,24
92518861-536,하나증권,종합,5404,2024-03-14,25
986-27-660389,신한투자증권,IRP,52268,2014-01-19,25
4833-0055,키움증권,DC,9382,2024-02-05,25
4378-2795,키움증권,IRP,626912,2012-11-18,25
7977-4895,키움증권,종합,59276254,2020-05-15,26
057177-785186,KB증권,종합,389518,2010-09-08,26
0626-2624,키움증권,IRP,84386,2022-02-09,28
9652-7015,키움증권,종합,647,2014-05-25,29
190–2633–6205-0,미래에셋대우,IRP,8045,2023-01-08,29
345221-335934,KB증권,IRP,164576,2011-11-26,30
86392216-60,한국투자증권,DC,78600709,2013-10-20,30
2184-9670,키움증권,DC,68,2019-11-03,30
18296934-099,하나증권,DB,875,2019-06-29,30
0654-8904,키움증권,DB,495202,2016-07-08,30
3215-6393,키움증권,DB,1048,2017-06-10,31
365–9198–0015-4,미래에셋대우,DC,65030911,2014-09-19,31
4895-5581,키움증권,종합,61951706,2015-02-01,31
416227-994243,KB증권,DC,8075,2017-11-12,33
480-30-333809,신한투자증권,종합,21120,2021-03-02,33
73343563-058,하나증권,DB,70686188,2023-01-03,33
86753447-06,한국투자증권,종합,66,2013-04-21,33
621673-673522,KB증권,IRP,43326229,2014-08-23,34
78529483-44,한국투자증권,종합,45273438,2022-09-27,36
3798-8817,키움증권,IRP,35630371,2018-08-23,36
76573514-730,하나증권,종합,73288915,2016-10-12,36
60693865-09,한국투자증권,종합,8953397,2022-11-09,37
373282-117191,KB증권,DC,941867,2018-02-05,37
32179418-056,하나증권,IRP,5694,2012-02-09,37
694-37-182774,신한투자증권,DC,8644,2010-10-03,38
790–4243–4953-2,미래에셋대우,종합,1933,2012-03-25,39
459–9083–1949-7,미래에셋대우,DB,26643203,2013-10-16,39
124281-326338,KB증권,DC,80493006,2015-09-21,39
029-41-556747,신한투자증권,IRP,654125,2012-10-31,41
389–0705–9923-8,미래에셋대우,IRP,1510,2018-04-18,41
271-26-260768,신한투자증권,종합,399,2018-01-03,41
8480-7459,키움증권,종합,7964684,2010-10-17,41
357–9954–1972-4,미래에셋대우,종합,95329,2016-09-28,41
21027222-335,하나증권,종합,230855,2012-05-14,42
440–2737–3732-9,미래에셋대우,IRP,31947389,2022-01-11,42
38673885-38,한국투자증권,DC,1271,2011-10-09,42
666–9916–0037-7,미래에셋대우,종합,89554,2022-08-23,42
005-14-498113,신한투자증권,IRP,773389,2020-11-13,42
779–7836–0102-1,미래에셋대우,IRP,5934,2022-02-02,43
974-06-379210,신한투자증권,IRP,76027524,2020-12-30,45
794-23-035836,신한투자증권,종합,4008160,2016-07-21,45
808–8199–9176-0,미래에셋대우,IRP,97710705,2023-02-21,45
14394334-462,하나증권,IRP,7908576,2011-11-09,45
364223-020823,KB증권,종합,39096992,2012-11-28,45
37563387-11,한국투자증권,종합,5593,2014-11-11,47
06143721-099,하나증권,IRP,14756460,2021-01-12,47
532-21-090762,신한투자증권,IRP,40043279,2013-01-08,47
706-80-042454,신한투자증권,IRP,96795,2019-07-02,47
31843368-465,하나증권,종합,8625,2023-11-03,48
865–2221–8948-1,미래에셋대우,종합,34030,2015-02-24,48
820226-385342,KB증권,종합,930134,2015-11-16,48
602093-294947,KB증권,IRP,32687910,2018-02-03,49
04225914-63,한국투자증권,DC,1598296,2012-03-16,50
54512425-09,한국투자증권,DC,11101,2014-10-19,50
405-79-113430,신한투자증권,IRP,72236,2021-08-12,50
880-75-105745,신한투자증권,IRP,49423275,2015-07-19,50
615–6024–9493-4,미래에셋대우,IRP,610146,2021-07-06,51
975-04-776987,신한투자증권,종합,2755,2019-01-06,51
122-20-939201,신한투자증권,IRP,30489,2010-05-16,51
14909997-75,한국투자증권,IRP,37113,2018-11-05,51
709–2015–9478-2,미래에셋대우,DB,458,2018-01-14,51
80596785-262,하나증권,IRP,666864,2023-02-06,52
09656286-41,한국투자증권,종합,70005,2021-09-06,52
869-08-936273,신한투자증권,종합,72754,2019-09-10,52
145979-931421,KB증권,종합,16682209,2015-01-10,53
601807-667632,KB증권,IRP,75206803,2014-12-28,53
48323716-20,한국투자증권,종합,286976,2016-11-24,53
5575-7467,키움증권,종합,22436,2010-08-09,54
406–0108–6271-3,미래에셋대우,종합,3808,2014-08-30,55
340-88-306805,신한투자증권,IRP,4598,2012-06-25,56
452–5072–0886-1,미래에셋대우,IRP,6664,2021-04-06,56
4997-7015,키움증권,DC,7421,2024-06-10,57
45732095-476,하나증권,종합,118,2013-03-27,57
630-07-547492,신한투자증권,IRP,97548,2022-10-30,57
22994316-00,한국투자증권,IRP,58228,2012-05-29,58
271-21-238996,신한투자증권,IRP,1087778,2012-06-13,58
81428145-58,한국투자증권,종합,16557,2023-06-29,58
73122705-411,하나증권,DB,385,2021-03-01,61
620-69-196475,신한투자증권,DB,76922,2010-01-20,61
43188995-715,하나증권,DB,2888,2019-03-21,61
989–2611–3525-1,미래에셋대우,DC,48927,2020-01-09,61
205–5331–1785-9,미래에셋대우,IRP,975967,2021-10-30,61
734–4005–2292-1,미래에셋대우,DC,71777,2011-03-02,62
936939-993002,KB증권,DB,6880,2023-03-30,62
21312073-427,하나증권,IRP,8683382,2019-01-05,62
93672354-228,하나증권,종합,106,2011-11-11,64
14685876-823,하나증권,IRP,4575,2010-08-10,64
246996-432360,KB증권,IRP,46307,2017-06-24,64
244221-631765,KB증권,종합,66122,2023-05-23,64
69736784-623,하나증권,DC,307,2011-10-08,65
095–0151–9208-0,미래에셋대우,종합,73247,2018-08-04,65
08376139-511,하나증권,종합,42161,2012-09-17,65
