account_no,stock_code
2802-9928,140860
57453691-384,096770
64729240-98,352820
19570427-61,316140
21042763-309,185750
29739358-897,017800
6784-3729,377300
57703722-844,282330
81999842-58,067630
207–7617–5277-7,051900
03355597-75,084370
81428145-58,005490
76573514-730,259960
015-87-741911,272210
457–1494–0267-6,000660
6886-2629,137310
930-90-661065,005300
909–1984–8664-5,011070
804–2598–2677-6,395400
440–2737–3732-9,084370
3359-3792,402340
020311-496729,280360
8128-1453,051900
2439-9131,011780
449-36-583547,000990
213-03-283421,042660
0654-8904,237690
13772543-60,036460
36030052-24,009240
471827-794898,081660
100–2356–8600-7,029780
077–9419–7196-5,055550
06264867-86,007070
091516-456453,041510
6934-1139,068760
30265088-30,028300
19897556-06,138930
11065997-06,298040
19897556-06,035760
8116-5787,028300
6134-8260,263750
69736784-623,096770
25820658-789,042660
33218844-38,196170
749–4332–2027-8,097950
246996-432360,088980
903827-599704,000880
99686668-30,298380
544–1128–6222-4,028050
544–1128–6222-4,097950
565–9049–7951-6,241560
645-58-015321,011790
5744-0125,034020
001-63-550645,051600
632375-428679,026960
86392216-60,028300
0372-8394,000100
426–6012–2857-8,001570
416257-975923,009150
3373-9477,005380
53626823-930,051915
092–1787–1106-3,015760
780-22-410359,010620
020311-496729,028670
9118-2233,280360
8055-5195,454910
090560-973563,028300
1541-8941,001040
401324-939797,399720
1541-8941,098460
457–1494–0267-6,012450
57703722-844,375500
601807-667632,120110
43188995-715,008930
33218844-38,035760
639-88-974791,017800
88110639-254,141080
5528-8893,004490
691346-945441,011790
541–3132–0225-2,012330
915-22-424118,103140
026-01-021802,009520
20682617-05,012330
797117-646248,005935
14909997-75,145020
109–3871–7361-3,001570
29104941-95,029780
257–6075–8438-5,222800
265905-985777,138040
194–0738–4208-9,008730
466-45-509807,138930
119-35-022940,302440
245094-921679,161390
948880-122494,055550
60693865-09,015760
119-35-022940,000990
412-75-037169,403870
083492-288398,000660
562–8321–0989-3,006280
480-30-333809,012330
85005738-24,005935
6960-4949,006280
7101-6501,004800
353322-860832,017670
5866-7914,192820
449-36-583547,195940
090560-973563,089030
196–3126–6137-6,018670
341–7669–0156-0,000270
852-18-831177,329180
860677-355912,079550
44447146-187,285130
364223-020823,018260
820226-385342,267270
091516-456453,021240
66983203-516,086520
790–4243–4953-2,001570
68455433-74,004020
41283479-48,166090
541-19-468083,316140
76690231-791,003670
209-55-320679,006400
947-27-757179,010950
618–3336–2937-3,103140
853–6154–3898-5,010950
5877-8627,214150
22601010-07,018880
8666-5524,138930
90300518-16,006360
271-26-260768,004370
943-44-271558,004170
091516-456453,207940
252-91-175889,011170
956-65-465028,036930
879-08-306270,014680
541-19-468083,139480
72481549-32,365340
956-65-465028,022100
