id,tx_datetime,tx_type,tx_amount,bal_after_tx,tx_qty,account_no,stock_code
1,2024-04-08,매수,2679950.0,71276127,91,400806-738750,880.0
2,2024-03-07,매수,553380.0,7501635,69,2731-2728,42670.0
3,2024-04-19,매수,1796300.0,25183365,23,214154-622370,41510.0
4,2024-03-05,매수,3360000.0,55302657,60,790–4243–4953-2,47050.0
5,2024-06-11,매수,12540000.0,51270979,33,336-39-353073,5490.0
6,2024-03-14,매수,6188000.0,27951920,14,544–1128–6222-4,5490.0
7,2024-04-02,매수,48144000.0,8868132,59,6484-2736,207940.0
8,2024-03-05,매수,1755000.0,16410635,26,924425-126548,39130.0
9,2024-03-15,매수,4180800.0,79684360,48,54986895-890,454910.0
10,2024-01-23,매수,3308700.0,64224574,41,500931-051536,454910.0
11,2024-01-25,매수,2934900.0,72748369,27,325–8883–1176-8,69620.0
12,2024-03-06,매수,1400700.0,58224823,58,49695021-29,9520.0
13,2024-05-17,매수,722880.0,84476827,48,3592-5373,98460.0
14,2024-03-15,매수,1815000.0,93296140,30,5354-7736,302440.0
15,2024-03-27,매수,5405400.0,18695893,54,184-36-446637,399720.0
16,2024-01-24,매수,461720.0,59187324,68,214154-622370,6800.0
17,2024-01-02,매수,1634000.0,84758793,86,9292-8478,30000.0
18,2024-04-26,매수,1102500.0,55853004,35,81604242-557,5420.0
19,2024-05-10,매수,805000.0,64910310,14,81604242-557,11210.0
20,2024-04-04,매수,2928300.0,81604348,43,53626823-930,361610.0
21,2024-01-16,매수,2041000.0,6590136,52,76573514-730,81660.0
22,2024-01-18,매수,3888000.0,64257688,24,092–1787–1106-3,39030.0
23,2024-01-24,매수,30797500.0,52312631,97,841547-591835,51900.0
24,2024-01-02,매수,404500.0,8004590,5,869-08-936273,361610.0
25,2024-04-26,매수,316500.0,94537909,15,695–8007–2025-2,293490.0
26,2024-01-30,매수,476000.0,22649786,8,751–0674–3749-3,42700.0
27,2024-05-27,매수,1129260.0,60145250,59,655887-584850,281740.0
28,2024-01-19,매수,1380300.0,72094714,86,147-46-926332,98460.0
29,2024-04-03,매수,2480500.0,79176767,41,9807-8795,180640.0
30,2024-06-03,매수,587120.0,91152687,82,213-03-283421,73240.0
31,2024-03-20,매수,3855000.0,18394951,15,1400-3329,278470.0
32,2024-04-22,매수,4513500.0,49630884,45,3798-8817,11170.0
33,2024-01-12,매수,11212500.0,10044709,25,19897556-06,5490.0
34,2024-05-23,매수,5210500.0,91530109,85,124042-011038,86790.0
35,2024-01-09,매수,1211210.0,67266598,91,91194168-046,34230.0
36,2024-06-11,매수,2436050.0,62704860,83,927-04-287479,1120.0
37,2024-05-27,매수,1262800.0,43208306,56,874–2803–6164-0,67310.0
38,2024-01-23,매수,1428000.0,95138799,40,82009831-07,16360.0
39,2024-05-28,매수,2856600.0,89037845,18,4756-7903,5385.0
40,2024-01-05,매수,2020000.0,34797577,40,69736784-623,253450.0
41,2024-05-16,매수,1571300.0,2447224,19,168-17-097458,41510.0
42,2024-03-20,매수,2360600.0,87155108,22,103–0770–3122-9,185750.0
43,2024-01-12,매수,2403800.0,22915771,68,4756-7903,214150.0
44,2024-03-04,매수,2184000.0,18011909,42,471–9068–4432-2,17670.0
45,2024-01-18,매수,567000.0,42317383,12,45732095-476,4000.0
46,2024-04-23,매수,931800.0,99192111,6,230302-025525,5387.0
47,2024-04-26,매수,6897000.0,92634712,38,252-91-175889,35420.0
48,2024-03-22,매수,11655000.0,21706830,35,281-96-286019,128940.0
49,2024-05-30,매수,992200.0,76700591,22,069-66-726397,457190.0
50,2024-05-27,매수,2430000.0,9596754,100,4546-5316,28050.0
51,2024-05-20,매수,10296000.0,57304762,33,22994316-00,2380.0
52,2024-06-12,매수,3897600.0,40333300,58,92917054-10,161890.0
53,2024-05-03,매수,1023750.0,91901267,63,666–9916–0037-7,67630.0
54,2024-01-30,매수,2980250.0,97620118,91,53626823-930,9420.0
55,2024-03-11,매수,3867500.0,45620588,65,03572721-578,86790.0
56,2024-04-12,매수,8051000.0,80273366,97,21027222-335,9970.0
57,2024-04-01,매수,1110900.0,93858518,70,1147-7226,11200.0
58,2024-03-25,매수,534000.0,9386077,6,4293-3000,9970.0
59,2024-06-03,매수,1748400.0,16959763,93,988718-074278,30000.0
60,2024-02-02,매수,847840.0,44450332,56,160–1048–1429-2,272210.0
61,2024-06-12,매수,442060.0,6159203,92,556290-782177,18880.0
62,2024-01-02,매수,6800500.0,76574119,29,8941-2601,3230.0
63,2024-04-26,매수,407700.0,76247032,27,080-87-212275,35250.0
64,2024-01-25,매수,314000.0,65700009,80,277–9206–3753-1,47040.0
65,2024-02-15,매수,3250800.0,6560183,63,060–2912–8422-8,47810.0
66,2024-01-22,매수,1807400.0,60826338,14,500997-002208,280360.0
67,2024-02-20,매수,289100.0,24528933,7,164178-606887,17800.0
68,2024-04-11,매수,574560.0,95810901,38,389–0705–9923-8,35250.0
69,2024-05-16,매수,849850.0,68947582,23,786-07-903519,89030.0
70,2024-02-20,매수,11223000.0,76300780,86,2604-4821,120.0
71,2024-05-27,매수,403200.0,71749638,8,7977-4895,2710.0
72,2024-01-23,매수,13317000.0,88211254,46,779–7836–0102-1,97950.0
73,2024-03-13,매수,1065900.0,28253930,11,20802797-416,5830.0
74,2024-04-23,매수,1812800.0,63017037,44,694-37-182774,253450.0
75,2024-03-07,매수,2277600.0,91915493,24,0303-9109,66570.0
76,2024-02-08,매수,1219150.0,33978323,37,601807-667632,263750.0
77,2024-05-24,매수,3118500.0,55630912,7,860677-355912,7310.0
78,2024-04-02,매수,881500.0,53413176,43,400806-738750,336260.0
79,2024-05-21,매수,688800.0,17278427,4,95266979-58,4170.0
80,2024-02-22,매수,310500.0,86869423,9,056–1027–4474-3,4020.0
81,2024-05-17,매수,5175600.0,99541213,76,77104574-44,267250.0
82,2024-04-16,매수,2454800.0,67903336,68,6145-7411,89030.0
83,2024-04-19,매수,763700.0,70475466,7,425–8694–3837-3,6280.0
84,2024-01-09,매수,6038400.0,42604127,74,9667-9971,95340.0
85,2024-06-07,매수,2538000.0,91486827,9,466-19-144958,3670.0
86,2024-02-07,매수,1846800.0,37215902,81,86392216-60,7070.0
87,2024-05-20,매수,10949400.0,21397154,63,695–8007–2025-2,4170.0
88,2024-01-25,매수,1722000.0,13171254,21,694-37-182774,35900.0
89,2024-01-23,매수,1299900.0,36855838,7,24315858-488,298040.0
90,2024-02-08,매수,19440000.0,39234891,30,421927-510305,86520.0
91,2024-06-12,매수,4396200.0,73055512,51,939851-951805,454910.0
92,2024-01-12,매수,2217800.0,58075307,52,6134-8260,213420.0
93,2024-05-23,매수,9382500.0,4773141,27,58770203-51,810.0
94,2024-02-28,매수,1464000.0,85063891,60,41283479-48,9520.0
95,2024-01-31,매수,6927600.0,83794702,92,48323716-20,35900.0
96,2024-01-16,매수,4408600.0,66615120,67,66983203-516,302440.0
97,2024-02-01,매수,2304800.0,91763623,43,025811-473905,402340.0
98,2024-04-11,매수,145950.0,92226492,3,786-07-903519,161890.0
99,2024-01-04,매수,1332100.0,77596924,77,95112494-92,98460.0
100,2024-01-16,매수,3422400.0,92294960,93,989–2611–3525-1,16360.0
101,2024-05-28,매수,897750.0,87908225,19,4997-7015,2710.0
102,2024-06-10,매수,40300.0,37138878,2,9226-8744,204270.0
103,2024-04-24,매수,544860.0,32368877,54,161-57-895975,137310.0
104,2024-02-07,매수,68558000.0,56427710,83,489-72-229610,207940.0
105,2024-01-22,매수,3174400.0,38943766,64,7328-8383,2710.0
106,2024-03-08,매수,13702800.0,97290489,76,262-31-023366,68270.0
107,2024-03-25,매수,1206900.0,51929037,54,9807-8795,15760.0
108,2024-01-31,매수,236100.0,38629761,60,9310-2574,47040.0
109,2024-02-16,매수,12192000.0,13878381,48,69940390-265,247540.0
110,2024-05-28,매수,3165400.0,47256740,68,21762818-62,55550.0
111,2024-03-19,매수,397000.0,98355723,50,244221-631765,138930.0
112,2024-05-31,매수,12914000.0,90433310,44,201–3630–0102-0,348370.0
113,2024-03-04,매수,15120000.0,35841526,60,93672354-228,12330.0
114,2024-06-05,매수,2337500.0,64107333,55,831-73-478157,5290.0
115,2024-02-23,매수,1539600.0,34260967,12,060900-438114,120.0
116,2024-01-19,매수,5062400.0,15779322,64,84753446-40,41510.0
117,2024-05-24,매수,21746000.0,87240686,83,2079-8610,58470.0
118,2024-02-15,매수,2294400.0,83141873,96,137-27-322415,28050.0
119,2024-01-11,매수,1319500.0,3770547,58,5283-5937,42660.0
120,2024-05-14,매수,6609600.0,43824672,68,201–3630–0102-0,450080.0
121,2024-03-22,매수,1259200.0,63213253,16,93672354-228,108320.0
122,2024-03-25,매수,882000.0,3031188,3,503-26-176979,298020.0
123,2024-03-27,매수,6963400.0,80581774,74,25516338-81,32830.0
124,2024-01-08,매수,6422700.0,67276495,79,3373-9477,383220.0
125,2024-02-20,매수,2133000.0,46208480,18,602093-294947,67160.0
126,2024-04-08,매수,799770.0,33498398,53,3800-5619,34230.0
127,2024-05-30,매수,479750.0,53232488,95,1680-1632,18880.0
128,2024-05-29,매수,4046400.0,55170985,72,012–0415–7264-6,8770.0
129,2024-04-18,매수,6320000.0,32503478,20,46044137-197,128940.0
130,2024-03-19,매수,1523200.0,17645054,28,459–9083–1949-7,267270.0
131,2024-03-18,매수,2736000.0,66216182,72,974-62-643786,120110.0
132,2024-01-31,매수,2817600.0,40065962,48,608005-007793,5935.0
133,2024-01-22,매수,787500.0,11963311,42,33160982-830,11200.0
134,2024-01-22,매수,791350.0,32889169,17,53645403-00,4000.0
135,2024-01-11,매수,3316800.0,81745404,24,33218844-38,11170.0
136,2024-04-04,매수,2486000.0,25411779,11,765–1037–0720-9,5380.0
137,2024-01-02,매수,1440000.0,22619477,4,9300-2542,298020.0
138,2024-01-03,매수,6305400.0,96643941,62,31843368-465,10060.0
139,2024-03-29,매수,2259700.0,15094621,59,546–7271–9563-4,8930.0
140,2024-05-07,매수,6547500.0,50423431,15,201–3630–0102-0,51900.0
141,2024-04-09,매수,9991000.0,82421056,97,58770203-51,399720.0
142,2024-04-22,매수,1018350.0,78361815,31,5575-7467,8930.0
143,2024-03-05,매수,317260.0,11422287,29,4388-6506,34220.0
144,2024-03-15,매수,3366000.0,15877576,88,565010-766640,30200.0
145,2024-03-19,매수,1403500.0,15297478,70,645-58-015321,80.0
146,2024-02-13,매수,7425000.0,67824394,90,45066823-188,11790.0
147,2024-05-08,매수,556250.0,96043634,25,46044137-197,293490.0
148,2024-04-17,매수,3070200.0,74524742,42,939851-951805,138040.0
149,2024-04-26,매수,37990500.0,21541095,93,78529483-44,6400.0
150,2024-04-11,매수,572480.0,49427085,32,72481549-32,26960.0
151,2024-03-21,매수,2641100.0,59179190,77,237439-130647,720.0
152,2024-02-05,매수,8013200.0,56233002,92,018475-885599,23530.0
153,2024-04-24,매수,6234200.0,35348810,73,62441012-95,32830.0
154,2024-06-10,매수,1555850.0,33383394,37,23249341-35,253450.0
155,2024-05-29,매수,2331000.0,36608905,60,11929801-04,17800.0
156,2024-02-20,매수,1308160.0,23008519,73,402-27-380980,26960.0
157,2024-04-22,매수,146925.0,52452998,45,49457929-351,400.0
158,2024-01-23,매수,7106400.0,78550340,84,93576216-65,35900.0
159,2024-05-23,매수,22495000.0,34720443,55,98225420-75,298040.0
160,2024-01-22,매수,305040.0,61464451,31,88964146-502,5940.0
161,2024-05-31,매수,1891400.0,35566677,14,5868-3191,28260.0
162,2024-06-10,매수,1821850.0,12021067,83,858-09-172815,3490.0
163,2024-04-30,매수,19980000.0,11022063,90,69907736-32,11070.0
164,2024-02-19,매수,31416000.0,74067999,77,608005-007793,7310.0
165,2024-04-15,매수,1735050.0,75288715,43,794-23-035836,17800.0
166,2024-06-07,매수,7980000.0,95767718,20,9652-7015,6400.0
167,2024-05-27,매수,1626200.0,39948914,47,651639-225834,375500.0
168,2024-01-02,매수,802500.0,48928201,30,11684466-25,64350.0
169,2024-02-01,매수,528450.0,28284711,13,091516-456453,8930.0
170,2024-02-14,매수,3049350.0,22327517,87,780785-935960,20150.0
