id,tx_datetime,tx_type,tx_amount,bal_after_tx,tx_qty,account_no,stock_code
1,2024-04-08,매수,2679950,71276127,91,400806-738750,000880
2,2024-03-07,매수,553380,7501635,69,2731-2728,042670
3,2024-04-19,매수,1796300,25183365,23,214154-622370,041510
4,2024-03-05,매수,3360000,55302657,60,790–4243–4953-2,047050
5,2024-06-11,매수,12540000,51270979,33,336-39-353073,005490
6,2024-03-14,매수,6188000,27951920,14,544–1128–6222-4,005490
7,2024-04-02,매수,48144000,8868132,59,6484-2736,207940
8,2024-03-05,매수,1755000,16410635,26,924425-126548,039130
9,2024-03-15,매수,4180800,79684360,48,54986895-890,454910
10,2024-01-23,매수,3308700,64224574,41,500931-051536,454910
11,2024-01-25,매수,2934900,72748369,27,325–8883–1176-8,069620
12,2024-03-06,매수,1400700,58224823,58,49695021-29,009520
13,2024-05-17,매수,722880,84476827,48,3592-5373,098460
14,2024-03-15,매수,1815000,93296140,30,5354-7736,302440
15,2024-03-27,매수,5405400,18695893,54,184-36-446637,399720
16,2024-01-24,매수,461720,59187324,68,214154-622370,006800
17,2024-01-02,매수,1634000,84758793,86,9292-8478,030000
18,2024-04-26,매수,1102500,55853004,35,81604242-557,005420
19,2024-05-10,매수,805000,64910310,14,81604242-557,011210
20,2024-04-04,매수,2928300,81604348,43,53626823-930,361610
21,2024-01-16,매수,2041000,6590136,52,76573514-730,081660
22,2024-01-18,매수,3888000,64257688,24,092–1787–1106-3,039030
23,2024-01-24,매수,30797500,52312631,97,841547-591835,051900
24,2024-01-02,매수,404500,8004590,5,869-08-936273,361610
25,2024-04-26,매수,316500,94537909,15,695–8007–2025-2,293490
26,2024-01-30,매수,476000,22649786,8,751–0674–3749-3,042700
27,2024-05-27,매수,1129260,60145250,59,655887-584850,281740
28,2024-01-19,매수,1380300,72094714,86,147-46-926332,098460
29,2024-04-03,매수,2480500,79176767,41,9807-8795,180640
30,2024-06-03,매수,587120,91152687,82,213-03-283421,073240
31,2024-03-20,매수,3855000,18394951,15,1400-3329,278470
32,2024-04-22,매수,4513500,49630884,45,3798-8817,011170
33,2024-01-12,매수,11212500,10044709,25,19897556-06,005490
34,2024-05-23,매수,5210500,91530109,85,124042-011038,086790
35,2024-01-09,매수,1211210,67266598,91,91194168-046,034230
36,2024-06-11,매수,2436050,62704860,83,927-04-287479,001120
37,2024-05-27,매수,1262800,43208306,56,874–2803–6164-0,067310
38,2024-01-23,매수,1428000,95138799,40,82009831-07,016360
39,2024-05-28,매수,2856600,89037845,18,4756-7903,005385
40,2024-01-05,매수,2020000,34797577,40,69736784-623,253450
41,2024-05-16,매수,1571300,2447224,19,168-17-097458,041510
42,2024-03-20,매수,2360600,87155108,22,103–0770–3122-9,185750
43,2024-01-12,매수,2403800,22915771,68,4756-7903,214150
44,2024-03-04,매수,2184000,18011909,42,471–9068–4432-2,017670
45,2024-01-18,매수,567000,42317383,12,45732095-476,004000
46,2024-04-23,매수,931800,99192111,6,230302-025525,005387
47,2024-04-26,매수,6897000,92634712,38,252-91-175889,035420
48,2024-03-22,매수,11655000,21706830,35,281-96-286019,128940
49,2024-05-30,매수,992200,76700591,22,069-66-726397,457190
50,2024-05-27,매수,2430000,9596754,100,4546-5316,028050
51,2024-05-20,매수,10296000,57304762,33,22994316-00,002380
52,2024-06-12,매수,3897600,40333300,58,92917054-10,161890
53,2024-05-03,매수,1023750,91901267,63,666–9916–0037-7,067630
54,2024-01-30,매수,2980250,97620118,91,53626823-930,009420
55,2024-03-11,매수,3867500,45620588,65,03572721-578,086790
56,2024-04-12,매수,8051000,80273366,97,21027222-335,009970
57,2024-04-01,매수,1110900,93858518,70,1147-7226,011200
58,2024-03-25,매수,534000,9386077,6,4293-3000,009970
59,2024-06-03,매수,1748400,16959763,93,988718-074278,030000
60,2024-02-02,매수,847840,44450332,56,160–1048–1429-2,272210
61,2024-06-12,매수,442060,6159203,92,556290-782177,018880
62,2024-01-02,매수,6800500,76574119,29,8941-2601,003230
63,2024-04-26,매수,407700,76247032,27,080-87-212275,035250
64,2024-01-25,매수,314000,65700009,80,277–9206–3753-1,047040
65,2024-02-15,매수,3250800,6560183,63,060–2912–8422-8,047810
66,2024-01-22,매수,1807400,60826338,14,500997-002208,280360
67,2024-02-20,매수,289100,24528933,7,164178-606887,017800
68,2024-04-11,매수,574560,95810901,38,389–0705–9923-8,035250
69,2024-05-16,매수,849850,68947582,23,786-07-903519,089030
70,2024-02-20,매수,11223000,76300780,86,2604-4821,000120
71,2024-05-27,매수,403200,71749638,8,7977-4895,002710
72,2024-01-23,매수,13317000,88211254,46,779–7836–0102-1,097950
73,2024-03-13,매수,1065900,28253930,11,20802797-416,005830
74,2024-04-23,매수,1812800,63017037,44,694-37-182774,253450
75,2024-03-07,매수,2277600,91915493,24,0303-9109,066570
76,2024-02-08,매수,1219150,33978323,37,601807-667632,263750
77,2024-05-24,매수,3118500,55630912,7,860677-355912,007310
78,2024-04-02,매수,881500,53413176,43,400806-738750,336260
79,2024-05-21,매수,688800,17278427,4,95266979-58,004170
80,2024-02-22,매수,310500,86869423,9,056–1027–4474-3,004020
81,2024-05-17,매수,5175600,99541213,76,77104574-44,267250
82,2024-04-16,매수,2454800,67903336,68,6145-7411,089030
83,2024-04-19,매수,763700,70475466,7,425–8694–3837-3,006280
84,2024-01-09,매수,6038400,42604127,74,9667-9971,095340
85,2024-06-07,매수,2538000,91486827,9,466-19-144958,003670
86,2024-02-07,매수,1846800,37215902,81,86392216-60,007070
87,2024-05-20,매수,10949400,21397154,63,695–8007–2025-2,004170
88,2024-01-25,매수,1722000,13171254,21,694-37-182774,035900
89,2024-01-23,매수,1299900,36855838,7,24315858-488,298040
90,2024-02-08,매수,19440000,39234891,30,421927-510305,086520
91,2024-06-12,매수,4396200,73055512,51,939851-951805,454910
92,2024-01-12,매수,2217800,58075307,52,6134-8260,213420
93,2024-05-23,매수,9382500,4773141,27,58770203-51,000810
94,2024-02-28,매수,1464000,85063891,60,41283479-48,009520
95,2024-01-31,매수,6927600,83794702,92,48323716-20,035900
96,2024-01-16,매수,4408600,66615120,67,66983203-516,302440
97,2024-02-01,매수,2304800,91763623,43,025811-473905,402340
98,2024-04-11,매수,145950,92226492,3,786-07-903519,161890
99,2024-01-04,매수,1332100,77596924,77,95112494-92,098460
100,2024-01-16,매수,3422400,92294960,93,989–2611–3525-1,016360
101,2024-05-28,매수,897750,87908225,19,4997-7015,002710
102,2024-06-10,매수,40300,37138878,2,9226-8744,204270
103,2024-04-24,매수,544860,32368877,54,161-57-895975,137310
104,2024-02-07,매수,68558000,56427710,83,489-72-229610,207940
105,2024-01-22,매수,3174400,38943766,64,7328-8383,002710
106,2024-03-08,매수,13702800,97290489,76,262-31-023366,068270
107,2024-03-25,매수,1206900,51929037,54,9807-8795,015760
108,2024-01-31,매수,236100,38629761,60,9310-2574,047040
109,2024-02-16,매수,12192000,13878381,48,69940390-265,247540
110,2024-05-28,매수,3165400,47256740,68,21762818-62,055550
111,2024-03-19,매수,397000,98355723,50,244221-631765,138930
112,2024-05-31,매수,12914000,90433310,44,201–3630–0102-0,348370
113,2024-03-04,매수,15120000,35841526,60,93672354-228,012330
114,2024-06-05,매수,2337500,64107333,55,831-73-478157,005290
115,2024-02-23,매수,1539600,34260967,12,060900-438114,000120
116,2024-01-19,매수,5062400,15779322,64,84753446-40,041510
117,2024-05-24,매수,21746000,87240686,83,2079-8610,058470
118,2024-02-15,매수,2294400,83141873,96,137-27-322415,028050
119,2024-01-11,매수,1319500,3770547,58,5283-5937,042660
120,2024-05-14,매수,6609600,43824672,68,201–3630–0102-0,450080
121,2024-03-22,매수,1259200,63213253,16,93672354-228,108320
122,2024-03-25,매수,882000,3031188,3,503-26-176979,298020
123,2024-03-27,매수,6963400,80581774,74,25516338-81,032830
124,2024-01-08,매수,6422700,67276495,79,3373-9477,383220
125,2024-02-20,매수,2133000,46208480,18,602093-294947,067160
126,2024-04-08,매수,799770,33498398,53,3800-5619,034230
127,2024-05-30,매수,479750,53232488,95,1680-1632,018880
128,2024-05-29,매수,4046400,55170985,72,012–0415–7264-6,008770
129,2024-04-18,매수,6320000,32503478,20,46044137-197,128940
130,2024-03-19,매수,1523200,17645054,28,459–9083–1949-7,267270
131,2024-03-18,매수,2736000,66216182,72,974-62-643786,120110
132,2024-01-31,매수,2817600,40065962,48,608005-007793,005935
133,2024-01-22,매수,787500,11963311,42,33160982-830,011200
134,2024-01-22,매수,791350,32889169,17,53645403-00,004000
135,2024-01-11,매수,3316800,81745404,24,33218844-38,011170
136,2024-04-04,매수,2486000,25411779,11,765–1037–0720-9,005380
137,2024-01-02,매수,1440000,22619477,4,9300-2542,298020
138,2024-01-03,매수,6305400,96643941,62,31843368-465,010060
139,2024-03-29,매수,2259700,15094621,59,546–7271–9563-4,008930
140,2024-05-07,매수,6547500,50423431,15,201–3630–0102-0,051900
141,2024-04-09,매수,9991000,82421056,97,58770203-51,399720
142,2024-04-22,매수,1018350,78361815,31,5575-7467,008930
143,2024-03-05,매수,317260,11422287,29,4388-6506,034220
144,2024-03-15,매수,3366000,15877576,88,565010-766640,030200
145,2024-03-19,매수,1403500,15297478,70,645-58-015321,000080
146,2024-02-13,매수,7425000,67824394,90,45066823-188,011790
147,2024-05-08,매수,556250,96043634,25,46044137-197,293490
148,2024-04-17,매수,3070200,74524742,42,939851-951805,138040
149,2024-04-26,매수,37990500,21541095,93,78529483-44,006400
150,2024-04-11,매수,572480,49427085,32,72481549-32,026960
